,name,artistName,trackName,msPlayed,datetime,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,,,,,,,,,,
2842,Promises (with Sam Smith)___Calvin Harris,Calvin Harris,Promises (with Sam Smith),1396,2/17/20 2:15,0.781,0.768,-5.991,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,213309,,,,,,,,,,
2843,One Kiss (with Dua Lipa)___Calvin Harris,Calvin Harris,One Kiss (with Dua Lipa),1704,2/17/20 2:15,0.791,0.862,-3.24,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847,,,,,,,,,,
2844,Summer___Calvin Harris,Calvin Harris,Summer,4861,2/17/20 2:15,0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,,,,,,,,,,
2845,Blame (feat. John Newman)___Calvin Harris,Calvin Harris,Blame (feat. John Newman),32048,2/17/20 2:16,0.414,0.857,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960,,,,,,,,,,
2846,The Weekend - Funk Wav Remix___SZA,SZA,The Weekend - Funk Wav Remix,9646,2/17/20 2:16,0.775,0.573,-4.933,0.0585,0.495,0,0.126,0.667,101.925,171806,,,,,,,,,,
2847,My Way___Calvin Harris,Calvin Harris,My Way,2082,2/17/20 2:16,0.819,0.913,-3.059,0.0427,0.0935,3.72E-05,0.161,0.536,119.989,219160,,,,,,,,,,
2848,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)___Calvin Harris",Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2006,2/17/20 2:16,0.893,0.745,-3.105,0.0571,0.0642,0,0.0943,0.872,101.018,223413,,,,,,,,,,
2849,空に歌えば___amazarashi,amazarashi,空に歌えば,2568,2/17/20 2:16,0.594,0.951,-1.339,0.0696,0.0142,1.18E-06,0.0965,0.641,102.04,217627,,,,,,,,,,
2850,Alarm - Marshmello Remix___Anne-Marie,Anne-Marie,Alarm - Marshmello Remix,8155,2/17/20 2:16,0.684,0.975,-0.045,0.0904,0.0429,0,0.064,0.7,141.994,219718,,,,,,,,,,
2851,ODD FUTURE___UVERworld,UVERworld,ODD FUTURE,2621,2/17/20 2:16,0.694,0.795,-4.649,0.0924,0.015,0,0.114,0.556,128.036,225907,,,,,,,,,,
2852,How Deep Is Your Love___Calvin Harris,Calvin Harris,How Deep Is Your Love,1944,2/17/20 2:16,0.738,0.868,-4.373,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640,,,,,,,,,,
2853,Guren no Yumiya___Linked Horizon,Linked Horizon,Guren no Yumiya,7375,2/17/20 2:17,0.455,0.952,-6.382,0.0787,0.0232,5.65E-05,0.0662,0.332,90.365,310680,,,,,,,,,,
2854,the WORLD___Nightmare,Nightmare,the WORLD,3216,2/17/20 2:17,0.531,0.904,-3.869,0.0419,0.00353,0,0.328,0.753,94.999,228120,,,,,,,,,,
2855,"Let Me Hear___Fear, and Loathing in Las Vegas","Fear, and Loathing in Las Vegas",Let Me Hear,3502,2/17/20 2:17,0.175,0.995,1.023,0.211,0.000145,2.50E-06,0.214,0.303,184.066,225547,,,,,,,,,,
2856,遥か彼方___ASIAN KUNG-FU GENERATION,ASIAN KUNG-FU GENERATION,遥か彼方,2828,2/17/20 2:17,0.316,0.951,-3.757,0.112,2.46E-05,0.189,0.17,0.255,174.895,243347,,,,,,,,,,
2857,ブルーバード___Ikimonogakari,Ikimonogakari,ブルーバード,2022,2/17/20 2:17,0.536,0.966,-2.93,0.0557,0.12,0,0.0477,0.85,152.078,215707,,,,,,,,,,
2858,シルエット___KANA-BOON,KANA-BOON,シルエット,3461,2/17/20 2:17,0.436,0.934,-2.685,0.0507,1.05E-05,0.136,0.321,0.383,91.488,240133,,,,,,,,,,
2859,asphyxia___Cö Shu Nie,Cö Shu Nie,asphyxia,23365,2/17/20 2:17,0.192,0.913,-3.318,0.15,0.05,0,0.283,0.39,82.52,174893,,,,,,,,,,
2860,Jiyuu no Tsubasa___Linked Horizon,Linked Horizon,Jiyuu no Tsubasa,118120,2/17/20 2:19,0.373,0.972,-6.005,0.123,0.0619,3.31E-05,0.379,0.0759,157.433,331947,,,,,,,,,,
2861,Jiyuu no Tsubasa___Linked Horizon,Linked Horizon,Jiyuu no Tsubasa,700,2/17/20 2:19,0.373,0.972,-6.005,0.123,0.0619,3.31E-05,0.379,0.0759,157.433,331947,,,,,,,,,,
2862,Shinzo wo Sasageyo!___Linked Horizon,Linked Horizon,Shinzo wo Sasageyo!,78580,2/17/20 2:21,0.44,0.983,-4.36,0.0868,0.22,0,0.26,0.203,159.968,341413,,,,,,,,,,
2863,Shoukei to Shikabane no Michi [TV Size]___Linked Horizon,Linked Horizon,Shoukei to Shikabane no Michi [TV Size],40510,2/17/20 2:21,0.408,0.943,-4.579,0.0913,0.226,0,0.352,0.807,178.076,90090,,,,,,,,,,
2864,asphyxia___Cö Shu Nie,Cö Shu Nie,asphyxia,2850,2/17/20 2:21,0.192,0.913,-3.318,0.15,0.05,0,0.283,0.39,82.52,174893,,,,,,,,,,
2865,Red Swan___Yoshiki,Yoshiki,Red Swan,5210,2/17/20 2:21,0.275,0.782,-4.689,0.0467,0.0521,2.25E-06,0.331,0.154,131.744,263720,,,,,,,,,,
2866,Guren no Yumiya___Linked Horizon,Linked Horizon,Guren no Yumiya,1820,2/17/20 2:22,0.455,0.952,-6.382,0.0787,0.0232,5.65E-05,0.0662,0.332,90.365,310680,,,,,,,,,,
2867,FLY HIGH!!___BURNOUT SYNDROMES,BURNOUT SYNDROMES,FLY HIGH!!,12070,2/17/20 2:22,0.468,0.961,-1.434,0.0727,0.0133,0,0.331,0.354,94.646,244493,,,,,,,,,,
2868,Flyers___BRADIO,BRADIO,Flyers,10670,2/17/20 2:22,0.45,0.857,-2.35,0.0398,0.0167,0,0.202,0.755,139.064,210084,,,,,,,,,,
2869,Black Rover___Vickeblanka,Vickeblanka,Black Rover,2800,2/17/20 2:22,0.592,0.937,-4.905,0.0442,0.00139,1.74E-05,0.189,0.529,102.073,209573,,,,,,,,,,
2870,Departure!___Masatoshi Ono,Masatoshi Ono,Departure!,1200,2/17/20 2:22,0.36,0.93,-4.748,0.0515,0.00765,0,0.0723,0.483,159.983,257533,,,,,,,,,,
2871,Make my story___Lenny code fiction,Lenny code fiction,Make my story,3350,2/17/20 2:22,0.531,0.942,-3.835,0.0555,0.00179,0,0.398,0.823,132.029,267587,,,,,,,,,,
2872,紅蓮華___LiSA,LiSA,紅蓮華,13330,2/17/20 2:22,0.545,0.979,-2.8,0.153,0.00339,0.000118,0.0775,0.309,135.002,238587,,,,,,,,,,
2873,熱情のスペクトラム___Ikimonogakari,Ikimonogakari,熱情のスペクトラム,1400,2/17/20 2:22,0.476,0.902,-2.665,0.0436,0.0593,0,0.394,0.746,160.025,223613,,,,,,,,,,
2874,Sign___FLOW,FLOW,Sign,1830,2/17/20 2:22,0.368,0.906,-2.892,0.101,0.0019,0,0.344,0.692,177.956,236427,,,,,,,,,,
2875,インフェルノ___Mrs. GREEN APPLE,Mrs. GREEN APPLE,インフェルノ,4090,2/17/20 2:23,0.529,0.931,-1.538,0.0581,0.00955,0,0.465,0.695,92.466,212547,,,,,,,,,,
2876,ブラッドサーキュレーター___ASIAN KUNG-FU GENERATION,ASIAN KUNG-FU GENERATION,ブラッドサーキュレーター,2070,2/17/20 2:23,0.384,0.975,-2.854,0.123,0.0494,0,0.331,0.298,180.97,222827,,,,,,,,,,
2877,katharsis___TK from Ling tosite sigure,TK from Ling tosite sigure,katharsis,1870,2/17/20 2:23,0.557,0.826,-3.185,0.145,0.0388,0,0.177,0.389,144.275,262227,,,,,,,,,,
2878,だってアタシのヒーロー。___LiSA,LiSA,だってアタシのヒーロー。,1460,2/17/20 2:23,0.531,0.985,-1.528,0.13,0.0275,0,0.197,0.321,94.467,234267,,,,,,,,,,
2879,Touch off___UVERworld,UVERworld,Touch off,12600,2/17/20 2:23,0.499,0.891,-3.757,0.046,2.86E-05,0.000328,0.28,0.215,99.999,260707,,,,,,,,,,
2880,KISS OF DEATH___Mika Nakashima,Mika Nakashima,KISS OF DEATH,2360,2/17/20 2:23,0.539,0.915,-2.858,0.0702,0.000717,0,0.363,0.23,121.974,249693,,,,,,,,,,
2881,嘘___SID,SID,嘘,22850,2/17/20 2:23,0.431,0.947,-3.417,0.0629,0.0175,0,0.265,0.837,179.833,204853,,,,,,,,,,
2882,GO!!!___FLOW,FLOW,GO!!!,12660,2/17/20 2:23,0.512,0.462,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,185320,,,,,,,,,,
2883,RISE___MADKID,MADKID,RISE,6950,2/17/20 2:23,0.472,0.929,-3.162,0.156,0.0197,0,0.345,0.481,165.104,209227,,,,,,,,,,
2884,"Just Awake___Fear, and Loathing in Las Vegas","Fear, and Loathing in Las Vegas",Just Awake,3010,2/17/20 2:24,0.357,0.98,-1.286,0.153,0.00143,0,0.196,0.567,191.147,218573,,,,,,,,,,
2885,CORE PRIDE___UVERworld,UVERworld,CORE PRIDE,5690,2/17/20 2:24,0.468,0.97,-2.974,0.179,0.00629,0,0.253,0.499,92.732,257560,,,,,,,,,,
2886,恋愛サーキュレーション___物語シリーズ,物語シリーズ,恋愛サーキュレーション,11520,2/17/20 2:24,0.814,0.785,-5.679,0.0396,0.0524,0.00111,0.111,0.941,120.009,255040,,,,,,,,,,
2887,Deal with the devil___Tia,Tia,Deal with the devil,1760,2/17/20 2:24,0.492,0.939,-1.596,0.158,0.0232,0.000196,0.304,0.693,141.942,282547,,,,,,,,,,
2888,ADAMAS___LiSA,LiSA,ADAMAS,1640,2/17/20 2:24,0.508,0.991,-1.768,0.123,0.00906,1.28E-05,0.316,0.295,95.524,225000,,,,,,,,,,
2889,COLORS___FLOW,FLOW,COLORS,12190,2/17/20 2:24,0.458,0.877,-4.229,0.0503,0.0353,0,0.106,0.386,136.034,218493,,,,,,,,,,
2890,透明だった世界___Motohiro Hata,Motohiro Hata,透明だった世界,1740,2/17/20 2:24,0.373,0.914,-4.185,0.0565,0.076,0,0.669,0.56,168.21,232360,,,,,,,,,,
2891,Good Morning World!___BURNOUT SYNDROMES,BURNOUT SYNDROMES,Good Morning World!,4030,2/17/20 2:25,0.468,0.956,-1.817,0.0712,0.043,0,0.16,0.503,95.537,249000,,,,,,,,,,
2892,バイバイ YESTERDAY___3年E組うた担(渚&茅野&業&磯貝&前原),3年E組うた担(渚&茅野&業&磯貝&前原),バイバイ YESTERDAY,46770,2/17/20 2:25,0.591,0.945,-2.483,0.0675,0.0389,0,0.214,0.96,180.048,248800,,,,,,,,,,
2893,ポラリス___BLUE ENCOUNT,BLUE ENCOUNT,ポラリス,2000,2/17/20 2:25,0.517,0.939,-2.546,0.0938,0.00222,0.00237,0.0814,0.564,94.959,224360,,,,,,,,,,
2894,History Maker___DEAN FUJIOKA,DEAN FUJIOKA,History Maker,4530,2/17/20 2:25,0.397,0.668,-4.292,0.0855,0.102,0,0.0744,0.456,67.012,190045,,,,,,,,,,
2895,Howling___FLOW,FLOW,Howling,6210,2/17/20 2:25,0.507,0.949,-1.701,0.0561,0.000106,0,0.087,0.49,99.973,261547,,,,,,,,,,
2896,ハルカミライ___kankakupiero,kankakupiero,ハルカミライ,7520,2/17/20 2:25,0.453,0.991,-1.08,0.136,0.00997,1.39E-05,0.31,0.467,91.17,177120,,,,,,,,,,
2897,Jiyuu no Tsubasa___Linked Horizon,Linked Horizon,Jiyuu no Tsubasa,7180,2/17/20 2:25,0.373,0.972,-6.005,0.123,0.0619,3.31E-05,0.379,0.0759,157.433,331947,,,,,,,,,,
2898,again___YUI,YUI,again,12640,2/17/20 2:26,0.62,0.836,-4.27,0.0354,0.0427,0,0.337,0.546,140.073,255213,,,,,,,,,,
2899,火炎___QUEEN BEE,QUEEN BEE,火炎,6860,2/17/20 2:26,0.521,0.933,-4.874,0.179,0.034,2.07E-05,0.33,0.607,169.842,215973,,,,,,,,,,
2900,メリッサ___PornoGraffitti,PornoGraffitti,メリッサ,4420,2/17/20 2:30,0.538,0.928,-4.152,0.0768,0.0108,0,0.0496,0.799,169.998,274547,,,,,,,,,,
2901,FAITH___MADKID,MADKID,FAITH,2870,2/17/20 2:30,0.53,0.957,-3.518,0.17,0.0013,0,0.274,0.655,157.035,203160,,,,,,,,,,
2902,ヒカリアレ___BURNOUT SYNDROMES,BURNOUT SYNDROMES,ヒカリアレ,10530,2/17/20 2:30,0.32,0.939,-1.74,0.13,0.0112,0,0.363,0.348,178.096,244787,,,,,,,,,,
2903,空色デイズ___Shoko Nakagawa,Shoko Nakagawa,空色デイズ,17190,2/17/20 2:30,0.398,0.971,-2.873,0.125,0.00137,0.000323,0.344,0.502,174.021,251640,,,,,,,,,,
2904,Zenzenzense - movie ver.___RADWIMPS,RADWIMPS,Zenzenzense - movie ver.,2840,2/17/20 2:30,0.321,0.906,-3.967,0.141,0.000439,0,0.0862,0.641,189.776,285880,,,,,,,,,,
2905,Skyreach___Amamiya Sora,Amamiya Sora,Skyreach,228970,2/17/20 2:30,0.358,0.964,-2.245,0.11,0.00169,0.00356,0.334,0.565,184.105,267227,,,,,,,,,,
2906,Brave Shine___Aimer,Aimer,Brave Shine,233493,2/17/20 2:34,0.365,0.893,-5.912,0.0909,0.00307,6.55E-06,0.141,0.46,171.08,233493,,,,,,,,,,
2907,JUSTadICE___Seiko Oomori,Seiko Oomori,JUSTadICE,2570,2/17/20 2:36,0.404,0.988,-1.756,0.193,0.00139,0.00419,0.125,0.38,185.051,232339,,,,,,,,,,
2908,アルミナ___Nightmare,Nightmare,アルミナ,1420,2/17/20 2:36,0.347,0.901,-3.224,0.0532,0.0156,0,0.127,0.528,184.942,304107,,,,,,,,,,
2909,Kanashii Ureshii___frederic,frederic,Kanashii Ureshii,3230,2/17/20 2:36,0.525,0.815,-3.853,0.0791,0.00154,4.70E-05,0.362,0.743,141.978,285761,,,,,,,,,,
2910,HUNTING FOR YOUR DREAM___GALNERYUS,GALNERYUS,HUNTING FOR YOUR DREAM,2050,2/17/20 2:36,0.275,0.925,-3.532,0.0598,3.82E-06,8.54E-06,0.0877,0.358,177.988,324453,,,,,,,,,,
2911,Re:Re: (Single ver.)___ASIAN KUNG-FU GENERATION,ASIAN KUNG-FU GENERATION,Re:Re: (Single ver.),1260,2/17/20 2:36,0.464,0.869,-5.05,0.0502,0.000254,0.000403,0.248,0.506,155.009,332240,,,,,,,,,,
2912,一滴の影響 (album ver.)___UVERworld,UVERworld,一滴の影響 (album ver.),770,2/17/20 2:36,0.535,0.942,-3.365,0.0817,0.000196,9.23E-06,0.357,0.512,94.944,287840,,,,,,,,,,
2913,一滴の影響 (album ver.)___UVERworld,UVERworld,一滴の影響 (album ver.),4420,2/17/20 2:36,0.535,0.942,-3.365,0.0817,0.000196,9.23E-06,0.357,0.512,94.944,287840,,,,,,,,,,
2914,Clattanoia___OxT,OxT,Clattanoia,1510,2/17/20 2:36,0.48,0.953,-2.881,0.0815,0.0109,0,0.142,0.616,94.913,236187,,,,,,,,,,
2915,Clattanoia___OxT,OxT,Clattanoia,4790,2/17/20 2:36,0.48,0.953,-2.881,0.0815,0.0109,0,0.142,0.616,94.913,236187,,,,,,,,,,
2916,Brave Shine___Aimer,Aimer,Brave Shine,1200,2/17/20 2:36,0.365,0.893,-5.912,0.0909,0.00307,6.55E-06,0.141,0.46,171.08,233493,,,,,,,,,,
2917,*〜アスタリスク〜___ORANGE RANGE,ORANGE RANGE,*〜アスタリスク〜,1880,2/17/20 2:36,0.565,0.945,-4.78,0.05,0.0618,0.00456,0.357,0.617,127.877,257013,,,,,,,,,,
2918,Rude - Zedd Remix___MAGIC!,MAGIC!,Rude - Zedd Remix,6230,2/17/20 2:36,0.598,0.836,-2.388,0.0457,0.0324,2.44E-06,0.0751,0.343,130.009,273231,,,,,,,,,,
2919,Catch the Moment___LiSA,LiSA,Catch the Moment,1100,2/17/20 2:36,0.403,0.978,-1.875,0.146,0.0575,1.67E-06,0.331,0.443,190.062,282627,,,,,,,,,,
2920,A Cruel Angel's Thesis - Director's Edit Version___Shiro Sagisu,Shiro Sagisu,A Cruel Angel's Thesis - Director's Edit Version,3510,2/17/20 2:36,0.646,0.676,-9.477,0.0431,0.0339,1.99E-06,0.13,0.59,128.128,245093,,,,,,,,,,
2921,PAiNT it BLACK___BiSH,BiSH,PAiNT it BLACK,3280,2/17/20 2:36,0.482,0.953,-1.444,0.0577,0.0198,0,0.105,0.453,105.025,230431,,,,,,,,,,
2922,7-seven-___FLOW,FLOW,7-seven-,1480,2/17/20 2:36,0.409,0.928,-3.221,0.0619,0.000108,2.02E-06,0.331,0.775,170.029,260760,,,,,,,,,,
2923,You & Me - Flume Remix___Disclosure,Disclosure,You & Me - Flume Remix,93336,2/17/20 2:36,0.593,0.392,-6.872,0.0257,0.382,0.000114,0.131,0.25,75.065,282813,,,,,,,,,,
2924,レイン___SID,SID,レイン,8500,2/17/20 2:37,0.599,0.801,-4.912,0.0276,0.0285,0,0.126,0.65,94.955,256067,,,,,,,,,,
2925,QUESTION___3年E組うた担(渚&茅野&業&磯貝&前原),3年E組うた担(渚&茅野&業&磯貝&前原),QUESTION,7420,2/17/20 2:37,0.439,0.987,-2.723,0.0717,0.00498,2.90E-05,0.325,0.663,176.912,266227,,,,,,,,,,
2926,絶体絶命___Cö Shu Nie,Cö Shu Nie,絶体絶命,1820,2/17/20 2:37,0.324,0.941,-4.556,0.168,0.0408,1.15E-06,0.0363,0.507,142.982,148747,,,,,,,,,,
2927,君のせい___the peggies,the peggies,君のせい,3800,2/17/20 2:37,0.391,0.986,-1.51,0.0807,0.000778,0.00717,0.304,0.555,174.024,263067,,,,,,,,,,
2928,Paradisus-Paradoxum___MYTH & ROID,MYTH & ROID,Paradisus-Paradoxum,2630,2/17/20 2:37,0.384,0.912,-4.091,0.103,0.0264,0,0.149,0.319,100.36,231107,,,,,,,,,,
2929,ないものねだり___KANA-BOON,KANA-BOON,ないものねだり,1770,2/17/20 2:37,0.471,0.77,-3.783,0.102,0.0002,0.00308,0.0974,0.529,174.85,262693,,,,,,,,,,
2930,STRIKE BACK___BACK-ON,BACK-ON,STRIKE BACK,2290,2/17/20 2:37,0.469,0.942,-2.481,0.0956,0.00535,0,0.306,0.589,179.951,227467,,,,,,,,,,
2931,"What's up, people?!___MAXIMUM THE HORMONE",MAXIMUM THE HORMONE,"What's up, people?!",1340,2/17/20 2:37,0.385,0.976,-3.788,0.252,0.0329,0.00767,0.445,0.206,160.977,250227,,,,,,,,,,
2932,Guess Who Is Back___Kumi Koda,Kumi Koda,Guess Who Is Back,1800,2/17/20 2:37,0.403,0.94,-2.791,0.16,0.00245,0.00605,0.213,0.417,183.266,206067,,,,,,,,,,
2933,MUKANJYO___Survive Said The Prophet,Survive Said The Prophet,MUKANJYO,12810,2/17/20 2:38,0.316,0.961,-4.082,0.129,0.00364,0,0.226,0.304,94.858,192400,,,,,,,,,,
2934,ゴールデンタイムラバー___Sukima Switch,Sukima Switch,ゴールデンタイムラバー,28790,2/17/20 2:38,0.647,0.864,-5.19,0.0296,0.00536,0,0.403,0.767,125.095,339720,,,,,,,,,,
2935,Rightfully (TV Animation Goblin Slayer opening)___Mili,Mili,Rightfully (TV Animation Goblin Slayer opening),6710,2/17/20 2:38,0.39,0.724,-6.015,0.0635,0.00423,9.72E-05,0.102,0.301,181.91,213333,,,,,,,,,,
2936,ガムシャラ___みゆな,みゆな,ガムシャラ,1550,2/17/20 2:38,0.386,0.832,-4.484,0.0606,0.000402,0.0114,0.058,0.605,185.087,197882,,,,,,,,,,
2937,青春サツバツ論 - Full size___3年E組うた担(渚&茅野&業&磯貝&前原),3年E組うた担(渚&茅野&業&磯貝&前原),青春サツバツ論 - Full size,2460,2/17/20 2:38,0.567,0.983,-2.123,0.0998,0.0551,0,0.0688,0.499,146.028,223000,,,,,,,,,,
2938,Red Swan___Yoshiki,Yoshiki,Red Swan,2210,2/17/20 2:38,0.275,0.782,-4.689,0.0467,0.0521,2.25E-06,0.331,0.154,131.744,263720,,,,,,,,,,
2939,ホタルノヒカリ___Ikimonogakari,Ikimonogakari,ホタルノヒカリ,1090,2/17/20 2:38,0.566,0.919,-1.901,0.0639,0.0666,0,0.34,0.55,146.99,242293,,,,,,,,,,
2940,イマジネーション___SPYAIR,SPYAIR,イマジネーション,10150,2/17/20 2:38,0.488,0.937,-2.972,0.0555,0.00233,2.32E-05,0.134,0.614,101.959,176640,,,,,,,,,,
2941,Blame (feat. John Newman)___Calvin Harris,Calvin Harris,Blame (feat. John Newman),700,2/17/20 2:39,0.414,0.857,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960,,,,,,,,,,
2942,Paradisus-Paradoxum___MYTH & ROID,MYTH & ROID,Paradisus-Paradoxum,20360,2/17/20 2:39,0.384,0.912,-4.091,0.103,0.0264,0,0.149,0.319,100.36,231107,,,,,,,,,,
2943,RESISTER___ASCA,ASCA,RESISTER,1150,2/17/20 2:39,0.482,0.946,-3.059,0.0903,0.0101,0,0.142,0.399,91.498,227080,,,,,,,,,,
2944,Shoukei to Shikabane no Michi [TV Size]___Linked Horizon,Linked Horizon,Shoukei to Shikabane no Michi [TV Size],1720,2/17/20 2:39,0.408,0.943,-4.579,0.0913,0.226,0,0.352,0.807,178.076,90090,,,,,,,,,,
2945,Beautiful Now___Zedd,Zedd,Beautiful Now,47710,2/17/20 2:39,0.628,0.833,-4.126,0.0282,0.0079,1.48E-05,0.074,0.56,128.003,218293,,,,,,,,,,
2946,Under Control (feat. Hurts)___Calvin Harris,Calvin Harris,Under Control (feat. Hurts),2090,2/17/20 2:39,0.544,0.915,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094,184280,,,,,,,,,,
2947,veil___須田景凪,須田景凪,veil,2440,2/17/20 2:39,0.559,0.873,-4.401,0.0543,0.0281,0,0.185,0.797,150.055,209636,,,,,,,,,,
2948,イマジネーション___SPYAIR,SPYAIR,イマジネーション,2380,2/17/20 2:39,0.488,0.937,-2.972,0.0555,0.00233,2.32E-05,0.134,0.614,101.959,176640,,,,,,,,,,
2949,月の大きさ___Nogizaka46,Nogizaka46,月の大きさ,2910,2/17/20 2:40,0.555,0.941,-3.294,0.0557,0.484,0,0.266,0.804,92.494,236293,,,,,,,,,,
2950,Dream lantern___RADWIMPS,RADWIMPS,Dream lantern,2760,2/17/20 2:40,0.206,0.871,-5.751,0.419,0.0316,6.55E-05,0.0596,0.125,175.6,131667,,,,,,,,,,
2951,Black Catcher___Vickeblanka,Vickeblanka,Black Catcher,1530,2/17/20 2:40,0.586,0.892,-5.259,0.0349,0.00079,4.05E-06,0.16,0.665,100.04,195000,,,,,,,,,,
2952,カラノココロ___Anly,Anly,カラノココロ,2580,2/17/20 2:40,0.622,0.867,-6.313,0.0506,0.151,0.00521,0.148,0.633,109.933,264227,,,,,,,,,,
2953,"Crazy Noisy Bizarre Town (From ""Jojo's Bizarre Adventure: Diamond Is Unbreakable"") [feat. Skully Tun]___Chipmusic Heroes",Chipmusic Heroes,"Crazy Noisy Bizarre Town (From ""Jojo's Bizarre Adventure: Diamond Is Unbreakable"") [feat. Skully Tun]",6970,2/17/20 2:40,0.488,0.952,-3.843,0.182,0.00307,0,0.0706,0.376,135.942,182693,,,,,,,,,,
2954,Re:Re: (2016 Version) - 2016 Rerecorded___ASIAN KUNG-FU GENERATION,ASIAN KUNG-FU GENERATION,Re:Re: (2016 Version) - 2016 Rerecorded,1360,2/17/20 2:40,0.449,0.904,-5.264,0.0395,2.30E-05,0.212,0.14,0.738,155.047,326960,,,,,,,,,,
2955,Period___CHEMISTRY,CHEMISTRY,Period,215040,2/17/20 2:43,0.385,0.912,-4.198,0.105,0.00487,1.11E-05,0.0926,0.312,127.038,215040,,,,,,,,,,
2956,Animals - Radio Edit___Martin Garrix,Martin Garrix,Animals - Radio Edit,5944,2/17/20 2:44,0.593,0.914,-5.351,0.0363,0.00137,0.445,0.0714,0.0381,128.015,176120,,,,,,,,,,
2957,Shoukei to Shikabane no Michi [TV Size]___Linked Horizon,Linked Horizon,Shoukei to Shikabane no Michi [TV Size],7909,2/17/20 2:44,0.408,0.943,-4.579,0.0913,0.226,0,0.352,0.807,178.076,90090,,,,,,,,,,
2958,Five More Hours - Deorro x Chris Brown___Deorro,Deorro,Five More Hours - Deorro x Chris Brown,211975,2/17/20 2:48,0.699,0.883,-3.226,0.219,0.0288,0,0.817,0.499,127.961,211975,,,,,,,,,,
2959,Heroes (we could be)___Alesso,Alesso,Heroes (we could be),209866,2/17/20 2:51,0.503,0.748,-4.124,0.0619,0.0305,0,0.343,0.356,125.896,210013,,,,,,,,,,
2960,Like I Do___David Guetta,David Guetta,Like I Do,202500,2/17/20 2:54,0.635,0.9,-3.719,0.0377,0.00664,0.0145,0.37,0.15,127.978,202500,,,,,,,,,,
2961,Profondo___Alesso,Alesso,Profondo,140040,2/17/20 2:57,0.239,0.562,-9.403,0.0663,0.159,0.414,0.714,0.175,79.262,140040,,,,,,,,,,
2962,PAYDAY___Alesso,Alesso,PAYDAY,197866,2/17/20 3:00,0.567,0.931,-5.385,0.0734,0.022,0.726,0.271,0.18,126.016,197867,,,,,,,,,,
2963,The Universe___Hardwell,Hardwell,The Universe,262149,2/17/20 3:04,0.669,0.917,-4.336,0.0824,0.000472,0.000707,0.119,0.132,130.015,262150,,,,,,,,,,
2964,Hold (Candyland Remix)___Elephante,Elephante,Hold (Candyland Remix),136165,2/17/20 3:07,0.735,0.691,-5.448,0.211,0.154,6.43E-05,0.164,0.305,103.863,136166,,,,,,,,,,
2965,No Money___Galantis,Galantis,No Money,189126,2/17/20 3:10,0.671,0.916,-4.014,0.0397,0.0282,0.00762,0.24,0.803,126.01,189127,,,,,,,,,,
2966,Beast (All as One)___Dimitri Vegas & Like Mike,Dimitri Vegas & Like Mike,Beast (All as One),189826,2/17/20 3:13,0.333,0.985,-2.843,0.0563,0.0326,0.769,0.226,0.393,135.24,189826,,,,,,,,,,
2967,Faded - Tungevaag & Raaban Remix___Alan Walker,Alan Walker,Faded - Tungevaag & Raaban Remix,251506,2/17/20 3:17,0.638,0.81,-6.836,0.0671,0.00742,0.0475,0.101,0.155,128.041,251507,,,,,,,,,,
2968,MOONRISE___Quintino,Quintino,MOONRISE,168281,2/17/20 3:20,0.632,0.921,-7.284,0.0409,0.005,0.958,0.562,0.0751,127.953,168281,,,,,,,,,,
2969,Don't Let Me Down (feat. Daya) - W&W Remix___The Chainsmokers,The Chainsmokers,Don't Let Me Down (feat. Daya) - W&W Remix,195093,2/17/20 3:23,0.431,0.877,-5.677,0.121,0.041,0.00128,0.126,0.484,159.897,195093,,,,,,,,,,
2970,GUD VIBRATIONS___NGHTMRE,NGHTMRE,GUD VIBRATIONS,224210,2/17/20 3:27,0.514,0.924,-5.417,0.052,0.000208,0.805,0.0684,0.0675,151.994,224211,,,,,,,,,,
2971,Goya No Machiawase___Hello Sleepwalkers,Hello Sleepwalkers,Goya No Machiawase,170640,2/17/20 3:30,0.406,0.959,-3.014,0.0952,0.000891,0,0.327,0.571,94.277,170640,,,,,,,,,,
2972,THE DAY___PornoGraffitti,PornoGraffitti,THE DAY,241626,2/17/20 3:34,0.512,0.933,-4.759,0.0738,0.000761,0,0.342,0.465,92.998,241627,,,,,,,,,,
2973,月虹___BUMP OF CHICKEN,BUMP OF CHICKEN,月虹,287252,2/17/20 3:39,0.554,0.921,-3.699,0.0313,0.00654,0,0.235,0.755,99.963,287253,,,,,,,,,,
2974,Dance Monkey___Tones And I,Tones And I,Dance Monkey,209438,2/17/20 3:42,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,,,,,,,,,,
